pagetitle|tv1|tv2|tv3|tv4|tv5|tv6|tv7
"JKOM 6S 50"|"GB-0162",1,"50/126,5/40"|"Сосна античная/дуб шуттер"|"Индиана"|"комод"|"Гербор"
"JLOZ_90"|"GB-0163",1,"97,5/79,5-49,5/206,5"|"Сосна античная/дуб шуттер"|"Индиана"|"Кровать"|"Гербор"
"JBIU 2D2S_140"|"GB-0164",1,"140/78/65"|"Сосна античная/дуб шуттер"|"Индиана"|"Письменный стол"|"Гербор"
"JBIU 2S_120"|"GB-0165",1,"120/78/65"|"Сосна античная/дуб шуттер"|"Индиана"|"Письменный стол"|"Гербор"
"JRTV 1S"|"GB-0166",1,"80/47,5/52"|"Сосна античная/дуб шуттер"|"Индиана"|"Тумбы РТВ"|"Гербор"
"JRTV 2S"|"GB-0167",1,"80/47,5/52"|"Сосна античная/дуб шуттер"|"Индиана"|"Тумбы РТВ"|"Гербор"
"JSTO_130/170"|"GB-0168",1,"130-170/76,5/80"|"Сосна античная/дуб шуттер"|"Индиана"|"Стол обеденный"|"Гербор"
"JPOL_120"|"GB-0169",1,"120/38,5/27"|"Сосна античная/дуб шуттер"|"Индиана"|"Полка"|"Гербор"
"JLUS_50"|"GB-0170",1,"50/100/2,5"|"Сосна античная/дуб шуттер"|"Индиана"|"Зеркало"|"Гербор"
"JLUS_80"|"GB-0171",1,"80/80/2,5"|"Сосна античная/дуб шуттер"|"Индиана"|"Зеркало"|"Гербор"
"JNAD 2W_130"|"GB-0172",1,"120/38,5/27"|"Сосна античная/дуб шуттер"|"Индиана"|"Витрина"|"Гербор"
"JWIT 1D_50"|"GB-0173",1,"50/195,40/40"|"Сосна античная/дуб шуттер"|"Индиана"|"Витрина"|"Гербор"
"JREG 1SO_50"|"GB-0174",1,"50/195,5/40"|"Сосна античная/дуб шуттер"|"Индиана"|"Стеллаж"|"Гербор"
"JREG 4SO_50"|"GB-0175",1,"50/195,5/40"|"Сосна античная/дуб шуттер"|"Индиана"|"Стеллаж"|"Гербор"
"JREG 1SO_80"|"GB-0176",1,"80/195,5/40"|"Сосна античная/дуб шуттер"|"Индиана"|"Стеллаж"|"Гербор"
"JREG 2DO_80"|"GB-0177",1,"80/195,5/40"|"Сосна античная/дуб шуттер"|"Индиана"|"Стеллаж"|"Гербор"
"JSZF 2D2S_80"|"GB-0178",1,"80/195,5/57"|"Сосна античная/дуб шуттер"|"Индиана"|"Шкаф"|"Гербор"
"JSZF 3D2S_150"|"GB-0179",1,"150/195,5/57"|"Сосна античная/дуб шуттер"|"Индиана"|"Шкаф"|"Гербор"
"JKOM 1S_50"|"GB-0180",1,"50/40,5/40"|"Сосна античная/дуб шуттер"|"Индиана"|"Тумба"|"Гербор"
"JLOZ_80/160"|"GB-0181",1,"79-154/60/202"|"Сосна античная/дуб шуттер"|"Индиана"|"Кровать "|"Гербор"
"JKUF_120"|"GB-0182",1,"120/47,5/49"|"Сосна античная/дуб шуттер"|"Индиана"|"Сундучок"|"Гербор"
"JKOM 1K_60"|"GB-0183",1,"60/47,5/40"|"Сосна античная/дуб шуттер"|"Индиана"|"Комод"|"Гербор"
"JKOM 6S_50"|"GB-0184",1,"50/126,5/40"|"Сосна античная/дуб шуттер"|"Индиана"|"Комод"|"Гербор"
"JWIE_60"|"GB-0185",1,"60/140/3,5"|"Сосна античная/дуб шуттер"|"Индиана"|"Вешалка"|"Гербор"
"Кай"|"GB-0186",1,"359,5/214/52,8"|"Ольха/ орех экко"|"Кай"|"Гостинная"|"Гербор"
"Канди+библиотека"|"GB-0187",1,"74/130/29"|"ольха"|"Канди"|"Детские"|"Гербор"
"Канди"|"GB-0188",1,"234/182/50,5-60"|"ольха"|"Канди"|"Детские"|"Гербор"
"Стол журнальный "|"GB-0189",1,"110/58/60"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Журнальные столики"|"Гербор"
"1D4S/110"|"GB-0190",1,"110/87/42"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"комод"|"Гербор"
"4S/110"|"GB-0191",1,"110/87/42"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"комод"|"Гербор"
"4S/62"|"GB-0192",1,"62/87/42"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"комод"|"Гербор"
"Кровать (каркас) 160"|"GB-0193",1,"174,5/86,5-35,6/219"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Кровать"|"Гербор"
"Кровать (каркас) 180"|"GB-0194",1,"194,5/86,5-35,6/219"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Кровать"|"Гербор"
"Тумба 145 (110)"|"GB-0195",1,"145(110)/52/42"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Тумбы РТВ"|"Гербор"
"Стол приставной"|"GB-0196",1,"120/75,5/60"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Стол"|"Гербор"
"Стол письменный 120"|"GB-0197",1,"120/78/70"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Стол письменный"|"Гербор"
