parent|id|pagetitle|tv1|tv2|tv3|tv4|tv5|tv6|tv7|tv8
0165|JBIU 2S_120|GB-0165|1|120/78/65|Сосна античная/дуб шуттер|Индиана|Письменный стол|Гербор
0166|JRTV 1S|GB-0166|1|80/47,5/52|Сосна античная/дуб шуттер|Индиана|Тумбы РТВ|Гербор
0167|JRTV 2S|GB-0167|1|80/47,5/52|Сосна античная/дуб шуттер|Индиана|Тумбы РТВ|Гербор
0168|JSTO_130/170|GB-0168|1|130-170/76,5/80|Сосна античная/дуб шуттер|Индиана|Стол обеденный|Гербор
0169|JPOL_120|GB-0169|1|120/38,5/27|Сосна античная/дуб шуттер|Индиана|Полка|Гербор
0170|JLUS_50|GB-0170|1|50/100/2,5|Сосна античная/дуб шуттер|Индиана|Зеркало|Гербор
0171|JLUS_80|GB-0171|1|80/80/2,5|Сосна античная/дуб шуттер|Индиана|Зеркало|Гербор
0172|JNAD 2W_130|GB-0172|1|120/38,5/27|Сосна античная/дуб шуттер|Индиана|Витрина|Гербор
0173|JWIT 1D_50|GB-0173|1|50/195,40/40|Сосна античная/дуб шуттер|Индиана|Витрина|Гербор
0174|JREG 1SO_50|GB-0174|1|50/195,5/40|Сосна античная/дуб шуттер|Индиана|Стеллаж|Гербор
0175|JREG 4SO_50|GB-0175|1|50/195,5/40|Сосна античная/дуб шуттер|Индиана|Стеллаж|Гербор
0176|JREG 1SO_80|GB-0176|1|80/195,5/40|Сосна античная/дуб шуттер|Индиана|Стеллаж|Гербор
0177|JREG 2DO_80|GB-0177|1|80/195,5/40|Сосна античная/дуб шуттер|Индиана|Стеллаж|Гербор
0178|JSZF 2D2S_80|GB-0178|1|80/195,5/57|Сосна античная/дуб шуттер|Индиана|Шкаф|Гербор
0179|JSZF 3D2S_150|GB-0179|1|150/195,5/57|Сосна античная/дуб шуттер|Индиана|Шкаф|Гербор
0180|JKOM 1S_50|GB-0180|1|50/40,5/40|Сосна античная/дуб шуттер|Индиана|Тумба|Гербор
0181|JLOZ_80/160|GB-0181|1|79-154/60/202|Сосна античная/дуб шуттер|Индиана|Кровать |Гербор
0182|JKUF_120|GB-0182|1|120/47,5/49|Сосна античная/дуб шуттер|Индиана|Сундучок|Гербор
0183|JKOM 1K_60|GB-0183|1|60/47,5/40|Сосна античная/дуб шуттер|Индиана|Комод|Гербор
0184|JKOM 6S_50|GB-0184|1|50/126,5/40|Сосна античная/дуб шуттер|Индиана|Комод|Гербор
0185|JWIE_60|GB-0185|1|60/140/3,5|Сосна античная/дуб шуттер|Индиана|Вешалка|Гербор
0186|Кай|GB-0186|1|359,5/214/52,8|Ольха/ орех экко|Кай|Гостинная|Гербор
0187|Канди+библиотека|GB-0187|1|74/130/29|ольха|Канди|Детские|Гербор
0188|Канди|GB-0188|1|234/182/50,5-60|ольха|Канди|Детские|Гербор
0189|Стол журнальный |GB-0189|1|110/58/60|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Журнальные столики|Гербор
0190|1D4S/110|GB-0190|1|110/87/42|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|комод|Гербор
0191|4S/110|GB-0191|1|110/87/42|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|комод|Гербор
0192|4S/62|GB-0192|1|62/87/42|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|комод|Гербор
0193|Кровать (каркас) 160|GB-0193|1|174,5/86,5-35,6/219|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Кровать|Гербор
0194|Кровать (каркас) 180|GB-0194|1|194,5/86,5-35,6/219|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Кровать|Гербор
0195|Тумба 145 (110)|GB-0195|1|145(110)/52/42|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Тумбы РТВ|Гербор
0196|Стол приставной|GB-0196|1|120/75,5/60|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Стол|Гербор
0197|Стол письменный 120|GB-0197|1|120/78/70|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Стол письменный|Гербор
0198|Стол письменный 160|GB-0198|1|160/78/70|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Стол письменный|Гербор
0199|Зеркало 60|GB-0199|1|62/82/2|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Зеркало|Гербор
0200|Зеркало 110|GB-0200|1|110/82/2|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Зеркало|Гербор
0201|Витрина 50|GB-0201|1|50/197/42|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Витрина|Гербор
0202|Витрина 50(матовая)|GB-0202|1|50/197/42|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Витрина|Гербор
0203|Пенал 47|GB-0203|1|47/197/42|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Пенал|Гербор
0204|Пенал открытый 47о|GB-0204|1|47/197/42|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Пенал|Гербор
0205|Пенал 80|GB-0205|1|80/197/42|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Пенал|Гербор
0206|Пенал открытый 80о|GB-0206|1|80/197/42|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Пенал|Гербор
0207|Бар|GB-0207|1|80/197/42|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Шкаф|Гербор
0208|Шкаф 2d|GB-0208|1|80/197/52|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Шкаф|Гербор
0209|Надставка шкафа 3d|GB-0209|1|166,5/47/61,4|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Шкаф|Гербор
0210|Шкаф 4d|GB-0210|1|217/197/61,4|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Шкаф|Гербор
0211|Шкаф Блюз 240|GB-0211|1|241/230/66|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Шкаф|Гербор
0212|Тумба прикроватная|GB-0212|1|45/49/36,5|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Тумба|Гербор
0213|Стол туалетный|GB-0213|1|110/84/38|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Стол |Гербор
0214|Полка 145(110)|GB-0214|1|145(110)/28,5/25|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Полка|Гербор
0215|Полка угловая|GB-0215|1|70/2/70|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Полка|Гербор
0216|Надставка шкафа 4d|GB-0216|1|217/47/61?4|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Шкаф|Гербор
0217|Шкаф 3d|GB-0217|1|166?5/197/61?4|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Капри|Шкаф|Гербор
0218|Кари|GB-0218|1|300/188,5/59,5|корпус: бук татра/клен нида; фасад: радуга голубая/красный бауш/ольха голубая|Кари|Детские|Гербор
0219|КОМОД|GB-0219|1|80/77/38,5|Бук татра|Ким|комод|Гербор
0220|Кровать (каркас) 160|GB-0220|1|167,5/90/220|Бук татра|Ким|Кровать|Гербор
0221|Кровать (каркас) 140|GB-0221|1|147,5/90/220|Бук татра|Ким|Кровать|Гербор
0222|Стол туалетный|GB-0222|1|85/140/38,5|Бук татра|Ким|Столы|Гербор
